gene_names,ApoE.2,ApoE.3,ApoE.4,ApoE.5,ApoE.6,DKO.1,DKO.3,DKO.5,DKO.6,DKO.7,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
Tnfsf12,304.2138091,424.1645609,370.5373375,366.8640675,386.2780329,2.930781355,3.922507252,22.0419591,2.842437751,12.06133086,256.5596918,5.479213089,0.345245702,15.87047443,1.01E-56,1.76E-52
Nlrp1b,182.5282855,163.6466377,247.6502711,125.1225131,256.0003001,42.98479321,45.1088334,67.17549441,54.7169267,28.14310533,115.8563975,2.025383175,0.259664352,7.800004722,6.19E-15,3.58E-11
2610507I01Rik,1229.530812,1424.854345,1339.56283,1637.525705,1156.101,654.5411693,663.8843524,742.0792898,662.287996,935.4232152,1143.404429,0.893449773,0.128924511,6.930022558,4.21E-12,1.82E-08
Ctso,1923.307304,2093.548365,2300.1457,2184.177461,2655.661477,1427.29052,1466.037085,1627.956122,1620.189518,1385.7129,1938.381717,0.566954651,0.094203785,6.018385025,1.76E-09,6.11E-06
Cyp1a1,282.2428118,87.46630636,97.55919771,194.3650689,197.694182,3272.705847,1422.889506,1670.990424,265.7679297,678.1148236,590.5979234,-3.08852015,0.529355723,-5.834489015,5.40E-09,1.56E-05
Tnip1,1247.276617,1146.466962,1141.630227,1053.215717,1327.375222,1662.729956,1565.080393,1944.940487,1595.318188,1614.878187,1320.620951,-0.501667295,0.089124622,-5.628829425,1.81E-08,4.46E-05
Mfap3,1690.921756,2287.290936,2250.428032,2224.265257,2113.596784,1581.645005,1496.436517,1452.670067,1637.954754,1628.279665,1929.155278,0.43789708,0.083952452,5.216013005,1.83E-07,0.000352021
Zfp39,468.1512507,650.8245591,543.1420719,606.1760585,550.2639903,387.840066,300.0718048,255.0569553,359.5683755,404.7246576,501.0865043,0.723535572,0.139390611,5.190705209,2.09E-07,0.000363062
Shisa6,38.02672614,31.97692921,22.51366101,36.44345041,49.19578722,74.246461,118.6558444,128.0532862,85.27313253,48.24532342,57.32594162,-1.354544666,0.274870904,-4.927930338,8.31E-07,0.001309285
Gm11166,89.57406601,33.85792504,35.64662993,31.58432369,28.24202599,8.792344066,12.74814857,13.6450223,7.816703815,14.7416266,20.8156425,1.951738721,0.402634331,4.847422508,1.25E-06,0.001806304
Kctd11,392.0977984,577.4657215,494.362473,545.4369745,582.1501487,247.162561,237.3116887,326.4309182,360.2789849,372.5611086,428.6902764,0.747630616,0.155033534,4.822380026,1.42E-06,0.001891041
Derl3,84.50383586,44.20340214,75.98360591,65.59821074,90.19227656,143.6082864,117.6752176,175.2860557,116.5399478,162.1578926,92.48057463,-0.980094562,0.204947087,-4.782183412,1.73E-06,0.002115745
Hgf,689.5513006,1138.942978,2237.295063,672.9890509,1450.36469,445.478766,527.5772254,574.1405538,309.8257148,427.5071714,679.5422582,1.438507687,0.30149788,4.771203331,1.83E-06,0.002115745
Eps8l1,55.77253167,77.12082926,132.2677584,91.10862602,25.5089267,176.8238084,236.3310619,292.843171,394.3882379,249.2675043,222.4348927,-1.824583384,0.391074738,-4.665561869,3.08E-06,0.003137493
Oxtr,59.1526851,56.42987507,45.02732202,47.37648553,46.46268793,81.08495083,110.8108299,181.5837583,86.6943514,85.76946386,72.89476074,-1.097699794,0.239239337,-4.588291399,4.47E-06,0.004125339
Pcdhb13,158.0221731,173.9921148,208.2513643,177.3581253,131.1887659,84.01573218,106.8883226,93.41592192,106.5914157,131.3344915,133.0649817,0.705657172,0.153879311,4.585783284,4.52E-06,0.004125339
Gm1821,899.1208136,660.2295383,668.8433459,702.1438112,1003.047439,1446.829062,1583.712303,1066.410974,1525.678463,1215.514121,968.8764768,-0.797831039,0.17561602,-4.543042479,5.54E-06,0.004804575
Serpina3j,25.35115076,8.46448126,0.938069209,2.429563361,43.72958864,672.1258575,572.6860588,6.297702601,97.35349297,151.4367096,109.6467853,-4.206898391,0.931204142,-4.517697248,6.25E-06,0.004958812
Cacna1s,14.3656521,3.761991671,12.19489971,7.288690082,7.288264773,66.43104405,22.5544167,36.73659851,39.79412851,17.42192235,18.33709444,-2.022999041,0.450825391,-4.487322768,7.21E-06,0.005434369
Scn4b,342.2405352,339.5197483,283.2969011,264.8224063,218.6479432,424.9632965,503.061555,717.9380965,358.1471566,548.12048,405.9135468,-0.814386877,0.182481086,-4.462856361,8.09E-06,0.005839796
Rarres1,186.7534773,240.767467,705.428045,444.610095,361.6801393,149.4698491,143.1715147,119.6563494,148.5173725,207.7229203,228.1318908,1.336660782,0.3036843,4.401481352,1.08E-05,0.007452892
Sh3bp5l,1283.613267,1113.549535,945.5737624,1009.483576,1002.136406,1378.444164,1372.877538,1304.674056,1546.996746,1424.577189,1200.452765,-0.392015483,0.089488152,-4.38064116,1.18E-05,0.00788719
