ensembl_id,BR-A-Control,BR-B-Control,BR-C-Control,TH-A-Control,TH-B-Control,TH-C-Control,external_gene_id,gene_biotype,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ENSMUSG00000036061,2756.371783,2821.562267,3001.135101,512.0619709,565.2218195,698.5859574,Smug1,protein_coding,1725.82315,2.275091441,0.097037191,23.44556163,1.47E-121,2.01E-117
ENSMUSG00000038227,259.5686432,231.2565449,268.0603378,1089.511623,1048.573069,951.2867437,Hoxa9,protein_coding,641.3761603,-2.025672623,0.110086522,-18.40073229,1.30E-75,8.88E-72
ENSMUSG00000001661,1914.740121,1780.326768,1972.239677,775.3110769,746.2817339,759.0780375,Hoxc6,protein_coding,1324.662902,1.313421775,0.079301494,16.56238385,1.30E-61,5.95E-58
ENSMUSG00000075394,1543.927774,1700.142338,1693.913198,727.7563997,747.0689509,722.0022465,Hoxc4,protein_coding,1189.135151,1.167992256,0.081437751,14.34214776,1.19E-46,4.09E-43
ENSMUSG00000029361,112.367378,91.80536206,86.69185393,454.3170057,411.7145009,563.9422952,Nos1,protein_coding,286.8063993,-2.294774843,0.168770356,-13.59702554,4.17E-42,1.14E-38
ENSMUSG00000020053,629.2573169,574.0740362,382.1285667,137.5688877,138.5501953,102.4462647,Igf1,protein_coding,327.3375446,2.061920076,0.178101011,11.57725082,5.37E-31,1.23E-27
ENSMUSG00000001657,3624.971615,3759.371472,3539.537141,2247.80769,2087.699534,2388.461486,Hoxc8,protein_coding,2941.308156,0.700820993,0.07018458,9.985398382,1.77E-23,3.46E-20
ENSMUSG00000022484,3.37102134,1.162093191,0,274.2885847,390.4596414,189.28167,Hoxc10,protein_coding,143.0938351,-7.549945058,0.757297842,-9.9695848,2.07E-23,3.55E-20
ENSMUSG00000027820,16.8551067,20.91767743,23.95432806,142.6640317,133.8268932,213.6736378,Mme,protein_coding,91.98194582,-2.986534802,0.301339729,-9.910856458,3.73E-23,5.68E-20
ENSMUSG00000022485,771.9638869,764.6573194,712.9264303,287.8756354,388.0979903,300.5090431,Hoxc5,protein_coding,537.6717176,1.201129154,0.121788273,9.862436874,6.06E-23,8.30E-20
ENSMUSG00000036139,574.1973016,411.3809895,441.4440457,996.1006498,933.6393844,1037.14647,Hoxc9,protein_coding,732.3181402,-1.054803882,0.116288932,-9.070544095,1.18E-19,1.47E-16
ENSMUSG00000021614,8202.818595,9089.892937,7814.814359,5344.806044,4975.998776,5655.033812,Vcan,protein_coding,6847.22742,0.652480337,0.072082922,9.051801957,1.41E-19,1.61E-16
ENSMUSG00000013584,317.9996798,784.4129037,702.6602897,5.095143989,10.23382125,0.975678711,Aldh1a2,protein_coding,303.5629195,6.764110443,0.776142224,8.715039888,2.91E-18,3.06E-15
ENSMUSG00000038253,1705.736798,1743.139786,1722.430256,1035.16342,977.7235374,1158.130631,Hoxa5,protein_coding,1390.387405,0.707086666,0.082328529,8.588598362,8.80E-18,8.61E-15
ENSMUSG00000014704,552.8474998,611.2610183,727.7553001,268.3442501,289.6958629,328.8037258,Hoxa2,protein_coding,463.1179428,1.09492614,0.129016279,8.486728562,2.13E-17,1.94E-14
ENSMUSG00000026872,978.7198625,1177.200402,995.8156379,1673.7548,1914.51179,2241.134,Zeb2,protein_coding,1496.856082,-0.886753867,0.105224961,-8.427219724,3.54E-17,2.98E-14
ENSMUSG00000051323,2863.120792,3142.299987,2674.899967,1933.607144,1854.683296,1761.100074,Pcdh19,protein_coding,2371.618543,0.644968334,0.077021614,8.373861629,5.58E-17,4.24E-14
ENSMUSG00000031207,189.9008688,251.0121292,209.8855411,447.5234803,436.9054455,524.9151468,Msn,protein_coding,343.3571019,-1.113943066,0.140467422,-7.930259232,2.19E-15,1.58E-12
ENSMUSG00000087658,244.9608841,252.1742224,292.0146659,118.8866931,107.8487316,102.4462647,Hotairm1,antisense,186.3885769,1.259988074,0.167029191,7.543520184,4.57E-14,3.13E-11
ENSMUSG00000019966,58.43103657,72.04977782,45.62729154,439.8807644,475.4790794,1066.416832,Kitl,protein_coding,359.6474636,-3.492046,0.476599519,-7.327002772,2.35E-13,1.54E-10
ENSMUSG00000026312,1016.924771,1210.901105,1170.340028,707.3758238,733.6862616,645.899307,Cdh7,protein_coding,914.1878827,0.701887019,0.09616208,7.298999948,2.90E-13,1.80E-10
ENSMUSG00000059182,288.7841615,296.3337636,289.7333013,137.5688877,138.5501953,138.546377,Skap2,protein_coding,214.9194477,1.077060011,0.149186715,7.219543715,5.22E-13,3.11E-10
ENSMUSG00000043441,30.33919206,23.24186381,19.39159891,117.1883117,110.9975997,88.78676275,Gpr149,protein_coding,64.99088815,-2.119981962,0.302013091,-7.019503549,2.23E-12,1.27E-09
ENSMUSG00000052504,260.692317,277.7402726,352.4708272,545.1804068,527.4354026,586.3829056,Epha3,protein_coding,424.9836886,-0.896221283,0.128955304,-6.949859788,3.66E-12,2.00E-09
ENSMUSG00000029673,5123.952437,5295.65867,5731.9285,3808.620132,3859.725043,4128.096628,Auts2,protein_coding,4657.996902,0.453591198,0.066454078,6.825633775,8.75E-12,4.61E-09
ENSMUSG00000043219,1622.584938,1554.880689,1543.343136,1136.217109,1036.764814,1130.811627,Hoxa6,protein_coding,1337.433719,0.515661227,0.078064175,6.605606597,3.96E-11,2.01E-08
ENSMUSG00000021268,18561.96717,19567.32514,18168.78749,14437.93968,13836.12632,14991.3034,Meg3,lincRNA,16593.9082,0.379965244,0.057822829,6.571197814,4.99E-11,2.44E-08
ENSMUSG00000030022,89.89390241,113.8851327,84.41048935,236.0750048,194.4426037,386.3687698,Adamts9,protein_coding,184.1793171,-1.500034632,0.230568718,-6.505802901,7.73E-11,3.65E-08
ENSMUSG00000009376,415.7592986,445.081692,406.0828947,731.1531624,608.5187556,803.9592583,Met,protein_coding,568.4258436,-0.757081366,0.118555762,-6.385867328,1.70E-10,7.78E-08
