Chip.Number,Hyb.Date,File Name,Array,Site,Year,Depth,sample
1,8/30/12,253295110035_2012-08-30_0470_0002.gpr,1,FGBNMS-West,2011,depth100-200,WL14T
1,8/30/12,253295110035_2012-08-30_0470_0002.gpr,2,FGBNMS-East,2011,depth100-200,EH46T-4
1,8/30/12,253295110035_2012-08-30_0470_0002.gpr,3,FGBNMS-West,2010,depth50-100,WBHR2
1,8/30/12,253295110035_2012-08-30_0470_0002.gpr,4,FGBNMS-East,2010,depth50-100,EBHR11
1,8/30/12,253295110035_2012-08-30_0470_0002.gpr,5,FGBNMS-East,2011,depth100-200,EH54T
1,8/30/12,253295110035_2012-08-30_0470_0002.gpr,6,FGBNMS-East,2011,depth100-200,EL25T
1,8/30/12,253295110035_2012-08-30_0470_0002.gpr,7,FGBNMS-West,2011,depth100-200,WH10T
1,8/30/12,253295110035_2012-08-30_0470_0002.gpr,8,FGBNMS-West,2011,depth100-200,WH19T
2,9/6/12,253295110059_2012-09-06_0430_0002.gpr,1,FGBNMS-East,2011,depth100-200,EH40T
2,9/6/12,253295110059_2012-09-06_0430_0002.gpr,2,FGBNMS-East,2011,depth100-200,EH49T
2,9/6/12,253295110059_2012-09-06_0430_0002.gpr,3,FGBNMS-West,2011,depth100-200,WL6T-3
2,9/6/12,253295110059_2012-09-06_0430_0002.gpr,4,FGBNMS-West,2011,depth100-200,WH9T-2
2,9/6/12,253295110059_2012-09-06_0430_0002.gpr,5,FGBNMS-West,2010,depth50-100,WBHR11
2,9/6/12,253295110059_2012-09-06_0430_0002.gpr,6,FGBNMS-East,2010,depth50-100,EBHR8
2,9/6/12,253295110059_2012-09-06_0430_0002.gpr,7,FGBNMS-West,2011,depth100-200,WH17T
2,9/6/12,253295110059_2012-09-06_0430_0002.gpr,8,FGBNMS-West,2011,depth100-200,WH9T-1
3,8/30/12,253295110062_2012-08-30_0470_0002.gpr,1,FGBNMS-East,2010,depth50-100,EBHR18
3,8/30/12,253295110062_2012-08-30_0470_0002.gpr,2,FGBNMS-East,2010,depth50-100,EBHR21
3,8/30/12,253295110062_2012-08-30_0470_0002.gpr,3,FGBNMS-East,2011,depth100-200,EH24T
3,8/30/12,253295110062_2012-08-30_0470_0002.gpr,4,FGBNMS-West,2010,depth50-100,WBHR24
3,8/30/12,253295110062_2012-08-30_0470_0002.gpr,5,FGBNMS-East,2010,depth50-100,EBHR17
3,8/30/12,253295110062_2012-08-30_0470_0002.gpr,6,FGBNMS-West,2011,depth100-200,WL6T-4
3,8/30/12,253295110062_2012-08-30_0470_0002.gpr,7,FGBNMS-East,2011,depth100-200,EH46T-3
3,8/30/12,253295110062_2012-08-30_0470_0002.gpr,8,FGBNMS-West,2010,depth50-100,WBHR18_1
4,10/9/13,253295110069_2013-10-09_0420.gpr,1,tortugas,2010,depth100-200,12-VII-10-1-6
4,10/9/13,253295110069_2013-10-09_0420.gpr,2,tortugas,2010,depth100-200,12-VII-10-1-5
4,10/9/13,253295110069_2013-10-09_0420.gpr,3,pulley,2010,depth200-300,4-VIII-10-1-1
4,10/9/13,253295110069_2013-10-09_0420.gpr,4,tortugas,2010,depth100-200,12-VII-10-4-1
4,10/9/13,253295110069_2013-10-09_0420.gpr,5,tortugas,2010,depth100-200,12-VII-10-1-2
4,10/9/13,253295110069_2013-10-09_0420.gpr,6,tortugas,2010,depth100-200,12-VII-10-1-3
4,10/9/13,253295110069_2013-10-09_0420.gpr,7,tortugas,2010,depth100-200,12-VII-10-1-4a
4,10/9/13,253295110069_2013-10-09_0420.gpr,8,tortugas,2010,depth100-200,12-VII-10-1-4b
5,10/4/13,253295110070_2013-10-04_0420.gpr,1,pulley,2012,depth200-300,22-VIII-12-4-017
5,10/4/13,253295110070_2013-10-04_0420.gpr,2,pulley,2012,depth200-300,22-VIII-12-4-014
5,10/4/13,253295110070_2013-10-04_0420.gpr,3,pulley,2012,depth200-300,23-VIII-12-1-010D
5,10/4/13,253295110070_2013-10-04_0420.gpr,4,pulley,2012,depth200-300,23-VIII-12-3-005
5,10/4/13,253295110070_2013-10-04_0420.gpr,5,pulley,2011,depth200-300,15-IX-11-2-3
5,10/4/13,253295110070_2013-10-04_0420.gpr,6,pulley,2011,depth200-300,16-IX-11-2-2
5,10/4/13,253295110070_2013-10-04_0420.gpr,7,pulley,2011,depth200-300,15-IX-11-2-1
5,10/4/13,253295110070_2013-10-04_0420.gpr,8,pulley,2012,depth200-300,19-VIII-12-4-008
6,9/26/13,253295110080_2013-09-26_0400.gpr,1,tortugas,2010,depth100-200,12-VII-10-1-1
6,9/26/13,253295110080_2013-09-26_0400.gpr,2,pulley,2012,depth200-300,19-VIII-12-4-9
6,9/26/13,253295110080_2013-09-26_0400.gpr,3,pulley,2012,depth200-300,22-VIII-12-4-019
6,9/26/13,253295110080_2013-09-26_0400.gpr,4,pulley,2011,depth200-300,16-IX-11-1-5
6,9/26/13,253295110080_2013-09-26_0400.gpr,5,pulley,2012,depth200-300,22-VIII-12-4-021
6,9/26/13,253295110080_2013-09-26_0400.gpr,6,pulley,2012,depth200-300,22-VIII-12-4-018
6,9/26/13,253295110080_2013-09-26_0400.gpr,7,pulley,2012,depth200-300,23-VIII-12-1-010
6,9/26/13,253295110080_2013-09-26_0400.gpr,8,pulley,2012,depth200-300,22-VIII-12-4-024
7,9/13/12,253295110064_2012-09-13_0430_FGB(arrays1-2)_JIMAR(arrays3-8).gpr,1,FGBNMS-West,2010,depth50-100,WBLRa2
7,9/13/12,253295110064_2012-09-13_0430_FGB(arrays1-2)_JIMAR(arrays3-8).gpr,2,FGBNMS-West,2010,depth50-100,WBH18_2
