ensembl_id,BR-A-Control,BR-A-Mutant,BR-B-Control,BR-B-Mutant,BR-C-Control,BR-C-Mutant,external_gene_id,gene_biotype,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ENSMUSG00000028565,1724,773,1846,872,1533,921,Nfia,protein_coding,1287.471783,-0.890383111,0.077305787,-11.51767729,1.07E-30,1.27E-26
ENSMUSG00000046607,362,79,358,78,252,106,Hrk,protein_coding,209.0231889,-1.057772127,0.100119613,-10.56508406,4.33E-26,2.56E-22
ENSMUSG00000036466,812,518,949,452,824,471,Megf11,protein_coding,674.8721805,-0.742947071,0.081735194,-9.089683798,9.93E-20,3.92E-16
ENSMUSG00000053007,139,18,157,41,167,40,Creb5,protein_coding,95.34182563,-0.876844199,0.09876857,-8.877765483,6.82E-19,2.02E-15
ENSMUSG00000022860,171,64,204,57,205,90,Chodl,protein_coding,133.6018989,-0.744097955,0.100587979,-7.397483929,1.39E-13,3.29E-10
ENSMUSG00000022053,406,234,434,251,425,247,Ebf2,protein_coding,334.4351392,-0.651713014,0.088550996,-7.359747955,1.84E-13,3.59E-10
ENSMUSG00000085139,310,150,394,170,269,132,A730046J19Rik,lincRNA,239.3511457,-0.722646468,0.098440919,-7.340915508,2.12E-13,3.59E-10
ENSMUSG00000000031,109,38,127,40,123,34,H19,lincRNA,79.53816109,-0.727146263,0.099485859,-7.309041384,2.69E-13,3.98E-10
ENSMUSG00000038718,2430,2071,2596,1949,3032,1503,Pbx3,protein_coding,2265.408055,-0.523423607,0.078782162,-6.643935579,3.05E-11,4.02E-08
ENSMUSG00000027684,734,487,952,584,1077,581,Mecom,protein_coding,739.5403232,-0.600501572,0.090665957,-6.623230936,3.51E-11,4.16E-08
ENSMUSG00000021919,130,41,163,67,195,73,Chat,protein_coding,112.8790066,-0.634521816,0.09952239,-6.375668994,1.82E-10,1.96E-07
ENSMUSG00000053024,901,547,938,645,727,516,Cntn2,protein_coding,713.4147294,-0.530900638,0.084140397,-6.30969969,2.80E-10,2.76E-07
ENSMUSG00000063415,88,9,47,22,88,6,Cyp26b1,protein_coding,43.98031057,-0.527073459,0.084288336,-6.253219421,4.02E-10,3.43E-07
ENSMUSG00000071856,358,200,389,262,424,236,Mcc,protein_coding,312.783108,-0.581462597,0.093004422,-6.25198873,4.05E-10,3.43E-07
ENSMUSG00000054263,702,517,882,493,814,579,Lifr,protein_coding,667.1649834,-0.521591863,0.086151303,-6.054369971,1.41E-09,1.11E-06
ENSMUSG00000039706,218,144,242,119,253,132,Ldb2,protein_coding,185.7613188,-0.575635075,0.098127021,-5.866223892,4.46E-09,3.30E-06
ENSMUSG00000037533,1903,1429,2073,1702,1982,1566,Rapgef6,protein_coding,1775.206096,-0.383241169,0.06751875,-5.676070261,1.38E-08,9.60E-06
ENSMUSG00000023067,92,160,82,218,92,215,Cdkn1a,protein_coding,140.7959812,0.558560616,0.100408524,5.56288046,2.65E-08,1.75E-05
ENSMUSG00000023064,216,116,287,155,220,130,Sncg,protein_coding,188.3804456,-0.542884813,0.099479364,-5.457260577,4.84E-08,3.01E-05
