"","ensembl_id","BR-A-Control","BR-B-Control","BR-C-Control","TH-A-Control","TH-B-Control","TH-C-Control","external_gene_id","gene_biotype","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"11046","ENSMUSG00000038227",259.568643206893,231.256544931387,268.060337807432,1089.51162291592,1048.57306911573,951.286743703993,"Hoxa9","protein_coding",641.376160280226,-2.02567262306371,0.110086522189442,-18.4007322856274,1.296014623147e-75,8.88288422704957e-72
"7253","ENSMUSG00000029361",112.367378011642,91.8053620581888,86.6918539292122,454.317005658625,411.714500861508,563.942295241957,"Nos1","protein_coding",286.806399293522,-2.29477484265771,0.168770356135892,-13.5970255393073,4.17052554590265e-42,1.14339128366467e-38
"3713","ENSMUSG00000022484",3.37102134034926,1.16209319060998,0,274.28858472474,390.459641352405,189.281670029307,"Hoxc10","protein_coding",143.093835106235,-7.54994505792398,0.757297842340249,-9.96958479980964,2.07092741029604e-23,3.54853411754226e-20
"6327","ENSMUSG00000027820",16.8551067017463,20.9176774309797,23.9543280593876,142.664031683456,133.826893205461,213.673637816589,"Mme","protein_coding",91.98194581627,-2.98653480239471,0.301339729330413,-9.91085645769606,3.73431135773356e-23,5.68777112131241e-20
"10266","ENSMUSG00000036139",574.197301639491,411.380989475935,441.444045665857,996.100649789845,933.639384362808,1037.14647031523,"Hoxc9","protein_coding",732.318140208193,-1.05480388237215,0.116288931661674,-9.07054409478069,1.18424162948229e-19,1.47578038699484e-16
"8232","ENSMUSG00000031207",189.900868839675,251.012129171757,209.885541091777,447.523480340365,436.905445464889,524.915146782306,"Msn","protein_coding",343.357101948461,-1.11394306633963,0.140467421524579,-7.93025923199364,2.18688903358641e-15,1.57778288802118e-12
"2237","ENSMUSG00000019966",58.4310365660539,72.0497778178191,45.6272915416906,439.880764357323,475.479079388816,1066.41683165996,"Kitl","protein_coding",359.647463555278,-3.49204600010962,0.476599519459937,-7.32700277177506,2.35356958712254e-13,1.5363205666798e-10
"12880","ENSMUSG00000043441",30.3391920631433,23.2418638121997,19.3915989052185,117.188311739982,110.997599658647,88.786762745706,"Gpr149","protein_coding",64.9908881541495,-2.11998196242431,0.302013090770282,-7.01950354872802,2.22657961337812e-12,1.27174805584114e-09
"7599","ENSMUSG00000030022",89.8939024093136,113.885132679779,84.4104893521276,236.075004809528,194.442603657347,386.368769750545,"Adamts9","protein_coding",184.179317109773,-1.50003463173917,0.230568717571136,-6.50580290136875,7.7279496999713e-11,3.65292187886919e-08
"10374","ENSMUSG00000036502",176.416783478278,199.880028784917,146.00733293341,403.365565771676,390.459641352405,282.94682633247,"Tmem255a","protein_coding",266.512696442193,-1.04642196029742,0.168822568224139,-6.19835352171712,5.70568709131344e-10,2.22229058508079e-07
"22651","ENSMUSG00000078706",7.86571646081494,6.97255914365991,5.70341144271133,50.9514398869486,63.7645785273081,44.8812207285986,"Gm53","lincRNA",30.0231543650069,-2.96029795399372,0.482389927223145,-6.13673252058668,8.42360372705841e-10,3.03870420764518e-07
"16191","ENSMUSG00000056423",25.8444969426777,52.2941935774493,36.5018332333525,137.568887694761,102.338212451235,127.813911205357,"Uts2b","protein_coding",80.3935891841388,-1.68261182823542,0.278023964492317,-6.05203882804827,1.43023983604173e-09,4.90143191811502e-07
"10248","ENSMUSG00000036095",182.03515237886,169.665605829058,233.839869151164,348.168172560815,343.226620221066,484.912319611164,"Dgkb","protein_coding",293.641289958688,-1.00375362005655,0.167891926957529,-5.9785698946112,2.25105026929575e-09,7.32465583684443e-07
"6417","ENSMUSG00000027971",75.2861432678002,106.912573536119,73.003666466705,191.067899576057,197.59147173277,159.035629973078,"Ndst4","protein_coding",133.816230758755,-1.10501313435953,0.207438095616969,-5.32695371635072,9.98735997807958e-08,2.63282174191375e-05
"10776","ENSMUSG00000037578",12.3604115812806,8.13465233426989,4.56272915416906,45.8562958982537,49.5946721879063,45.8568994400899,"Pkd2l1","protein_coding",27.7276100993283,-2.49387335676245,0.471746774354226,-5.28646615586574,1.24701874771471e-07,3.10802418066787e-05
"7089","ENSMUSG00000029088",78.6571646081494,154.558394351128,95.8173122375503,202.107378218229,229.867369505851,354.171372271333,"Kcnip4","protein_coding",185.863165198707,-1.2553480004725,0.237755529213017,-5.27999497899277,1.29187426648121e-07,3.13212108849025e-05
"5266","ENSMUSG00000025932",40.4522560841911,31.3765161464696,36.5018332333525,112.093167751287,122.805854941482,74.1515820733369,"Eya1","protein_coding",69.5635350383532,-1.51597959741333,0.289542482096178,-5.23577606449393,1.64293053564517e-07,3.75354863043733e-05
"627","ENSMUSG00000003746",83.1518597286151,152.234207969908,102.661405968804,236.924195474311,193.655386638491,331.730761907033,"Man1a","protein_coding",183.392969614527,-1.17141177982814,0.226267681867368,-5.17710602840219,2.2535415796661e-07,4.82680437094734e-05
