ensembl_id,TH-A-Control,TH-A-Mutant,TH-B-Control,TH-B-Mutant,TH-C-Control,TH-C-Mutant,external_gene_id,gene_biotype,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ENSMUSG00000029361,522.9063223,170.1462103,474.9538844,107.6601136,649.3215852,127.7325176,Nos1,protein_coding,342.1201056,-2.011549942,0.164780127,-12.20747903,2.84E-34,4.60E-30
ENSMUSG00000053007,319.6081634,70.67611812,315.1223669,37.35146799,392.0644174,86.858112,Creb5,protein_coding,203.613441,-2.387405719,0.210534363,-11.33974369,8.34E-30,6.76E-26
ENSMUSG00000046607,527.7932973,205.047997,525.8093673,121.9415573,556.0799043,215.6124898,Hrk,protein_coding,358.7141022,-1.562578784,0.159321558,-9.807704666,1.04E-22,4.23E-19
ENSMUSG00000063415,238.4843788,43.62723341,168.0047201,31.85860505,190.9769368,44.96184621,Cyp26b1,protein_coding,119.6522867,-2.303196174,0.234469453,-9.823011664,8.96E-23,4.23E-19
ENSMUSG00000027820,164.2023592,38.3919654,154.3827158,12.08429847,246.0232304,24.52464339,Mme,protein_coding,106.6015354,-2.881471804,0.299563202,-9.618911067,6.65E-22,2.16E-18
ENSMUSG00000030022,271.7158086,74.16629679,224.3090047,57.12577457,444.8639234,69.4864896,Adamts9,protein_coding,190.2778829,-2.220209192,0.231284299,-9.599480809,8.03E-22,2.17E-18
ENSMUSG00000029088,232.6200088,87.25446681,265.1750177,74.70293597,407.7919298,88.90183228,Kcnip4,protein_coding,192.7410319,-1.846191176,0.209475219,-8.813410874,1.21E-18,2.81E-15
ENSMUSG00000036466,1229.562904,686.6926538,1067.057006,685.5092948,1118.900171,698.9523366,Megf11,protein_coding,914.4457277,-0.72154841,0.087826072,-8.215651643,2.11E-16,3.80E-13
ENSMUSG00000036800,307.8794234,130.8817002,296.9596945,65.91435527,347.1286675,114.4483358,Fam135b,protein_coding,210.5353628,-1.601637072,0.194731453,-8.224850397,1.95E-16,3.80E-13
ENSMUSG00000003746,272.6932036,112.5582622,223.4008711,70.30864562,381.9538736,89.92369242,Man1a,protein_coding,191.8064248,-1.675428893,0.213550338,-7.84559232,4.31E-15,6.99E-12
ENSMUSG00000026452,378.2518631,225.9890691,404.1194619,138.4201461,485.3060983,172.6943639,Syt2,protein_coding,300.7968337,-1.230272312,0.165732579,-7.423237615,1.14E-13,1.68E-10
ENSMUSG00000042129,251.1905137,97.72500283,218.860203,86.78723444,201.0874805,94.01113299,Rassf4,protein_coding,158.2769279,-1.267669057,0.18131842,-6.991396979,2.72E-12,3.68E-09
ENSMUSG00000034683,36.16361481,150.0776829,27.24400867,71.40721821,20.22108743,200.2845877,Ppp1r1c,protein_coding,84.23303329,2.330210294,0.338709713,6.879667772,6.00E-12,7.48E-09
ENSMUSG00000040452,375.3196781,598.5656423,327.8362376,547.0891487,334.7713363,628.4439868,Cdh12,protein_coding,468.671005,0.77396721,0.112999248,6.849312944,7.42E-12,8.60E-09
ENSMUSG00000038718,3255.702728,2349.762791,3150.315536,2447.619726,3713.939724,1949.709149,Pbx3,protein_coding,2811.174942,-0.584355185,0.087152811,-6.704949379,2.01E-11,2.18E-08
ENSMUSG00000030306,554.1829622,397.007824,628.4284666,266.9531388,707.73806,332.1045459,Tmtc1,protein_coding,481.0691662,-0.918866543,0.138326132,-6.642754572,3.08E-11,3.12E-08
ENSMUSG00000009376,841.5370907,548.8305963,701.98729,400.9789946,925.6764467,405.678476,Met,protein_coding,637.448149,-0.860440308,0.130875983,-6.574470638,4.88E-11,4.66E-08
ENSMUSG00000059921,1849.231331,1258.209411,1653.711326,1156.796935,1938.977606,1326.374463,Unc5c,protein_coding,1530.550179,-0.539149123,0.083123098,-6.48615287,8.81E-11,7.93E-08
ENSMUSG00000054263,1391.810473,821.9370774,1494.787942,633.8763832,1213.265246,954.4173719,Lifr,protein_coding,1085.015749,-0.766101763,0.119417766,-6.415308132,1.41E-10,1.20E-07
ENSMUSG00000026872,1926.445535,1396.944014,2208.580969,1322.681396,2580.435435,1608.407862,Zeb2,protein_coding,1840.582535,-0.6329998,0.099689166,-6.34973515,2.16E-10,1.75E-07
ENSMUSG00000040118,2078.919154,1624.678172,2023.32171,1299.611371,2163.656355,1413.232575,Cacna2d1,protein_coding,1767.236556,-0.528600526,0.083536627,-6.32776954,2.49E-10,1.92E-07
ENSMUSG00000036095,400.7319479,246.9301411,395.9462593,243.8831145,558.3266918,214.5906296,Dgkb,protein_coding,343.401464,-0.9381616,0.149313064,-6.283184988,3.32E-10,2.44E-07
ENSMUSG00000039706,414.4154779,272.2339365,417.7414662,223.0102353,587.5349292,240.1371332,Ldb2,protein_coding,359.178863,-0.94348089,0.150461293,-6.270588745,3.60E-10,2.54E-07
