"","ensembl_id","TH-A-Control","TH-A-Mutant","TH-B-Control","TH-B-Mutant","TH-C-Control","TH-C-Mutant","external_gene_id","gene_biotype","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"9775","ENSMUSG00000034683",36.1636148146766,150.077682921559,27.2440086681808,71.4072182097054,20.22108742831,200.284587669632,"Ppp1r1c","protein_coding",84.233033285344,2.33021029362275,0.338709712583417,6.8796677717025,5.99923064470662e-12,7.49211611667784e-09
"14846","ENSMUSG00000050558",67.4402546543969,144.842414912668,45.4066811136346,128.53299277747,60.6632622849299,174.738084140342,"Prokr2","protein_coding",103.603948313907,1.37361329697658,0.232993203594433,5.89550800532194,3.73530398243943e-09,1.83765636833043e-06
"3331","ENSMUSG00000021835",0.977394994991259,27.0488847126066,1.81626724454538,56.0272019799227,1.12339374601722,36.7869650821774,"Bmp4","protein_coding",20.6300179600434,4.90939078061933,0.847485204019049,5.79289261610399,6.91843462232967e-09,3.30355253216242e-06
"1843","ENSMUSG00000017724",1.95478998998252,30.539063385201,9.08133622272692,51.6329116285562,4.49357498406888,56.2023077644376,"Etv4","protein_coding",25.6506639958289,3.12847073362553,0.550052307290935,5.68758769331153,1.28846443420564e-08,5.81061669148017e-06
"12143","ENSMUSG00000041046",26.389664864764,64.5683054429964,29.9684095349988,99.9701054935876,34.8252061265338,173.716223999171,"Ramp3","protein_coding",71.5729859103419,1.89149065632124,0.339071885807156,5.57843553386497,2.4269138439665e-08,9.85023656419905e-06
"4243","ENSMUSG00000024008",58.6436996994755,126.518976881547,58.1205518254523,125.237275013945,69.6504122530677,288.164559810389,"Cpne5","protein_coding",121.055912580646,1.53578682368981,0.285704003375828,5.37544733550535,7.63927790906683e-08,2.95294468699286e-05
"4055","ENSMUSG00000023067",109.468239439021,260.018311108283,83.5482932490876,194.447348047967,156.151730696394,344.366867574827,"Cdkn1a","protein_coding",191.333465019263,1.2022197966247,0.225146635366542,5.33971913312169,9.30906876329714e-08,3.51471468307277e-05
"4494","ENSMUSG00000024427",15.6383199198601,55.8428587615104,24.5196078013627,47.2386212771897,14.6041186982239,55.180447623266,"Spry4","protein_coding",35.5039956802355,1.52133165902761,0.375573311836819,4.05069159889775,5.10664758250292e-05,0.00931532848336347
"6287","ENSMUSG00000027737",13.6835299298776,41.8821440711328,18.1626724454538,59.3229197434476,4.49357498406888,30.6558042351478,"Slc7a11","protein_coding",28.0334409015214,1.83150043327849,0.474435540244582,3.86037781304138,0.000113211841517751,0.0183799424704068
"11477","ENSMUSG00000039232",0.977394994991259,8.725446681486,1.81626724454538,14.2814436419411,1.12339374601722,22.4809231057751,"Stx11","protein_coding",8.23414490245933,3.51552187190058,0.986368814913485,3.56410484470652,0.000365100010985992,0.0463078021746686
