,Chip.Number,Hyb.Date,Chip,Array,Status,Site,sample
1_3,1,9/13/12,253295110064,3,H,JOH-07,HI-1001-017A
1_4,1,9/13/12,253295110064,4,DZ,JOH-10,HI-1001-028
1_5,1,9/13/12,253295110064,5,H-DZ,JOH-11,HI-1001-021
1_6,1,9/13/12,253295110064,6,H-DZ,JOH-10,HI-1001-002
1_7,1,9/13/12,253295110064,7,H-DZ,JOH-11,HI-1001-030
1_8,1,9/13/12,253295110064,8,H,JOH-07,HI-1001-017B
2_1,2,8/16/12,253295110067,1,DZ,JOH-10,HI-1001-002
2_2,2,8/16/12,253295110067,2,H,JOH-07,HI-1001-017C
2_3,2,8/16/12,253295110067,3,H-DZ,JOH-11,HI-1001-012
2_4,2,8/16/12,253295110067,4,H,JOH-10,HI-1001-022
2_5,2,8/16/12,253295110067,5,H,JOH-11,HI-1001-021
2_6,2,8/16/12,253295110067,6,DZ,JOH-11,HI-1001-013
2_7,2,8/16/12,253295110067,7,H-DZ,JOH-18,HI-1001-008
2_8,2,8/16/12,253295110067,8,DZ,JOH-18,HI-1001-004
3_1,3,8/9/12,253295110050,1,DZ,JOH-18,HI-1001-006
3_2,3,8/9/12,253295110050,2,H,JOH-07,HI-1001-018A
3_3,3,8/9/12,253295110050,3,H,JOH-10,HI-1001-024
3_4,3,8/9/12,253295110050,4,DZ,JOH-11,HI-1001-023
3_5,3,8/9/12,253295110050,5,DZ,JOH-18,HI-1001-008
3_6,3,8/9/12,253295110050,6,H-DZ,JOH-11,HI-1001-013 
3_7,3,8/9/12,253295110050,7,DZ,JOH-11,HI-1001-012
3_8,3,8/9/12,253295110050,8,DZ,JOH-10,HI-1001-027
