gene_names,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,Exp.1.Basal,Exp.1.TW.100,Exp.2.Basal,Exp.2.TW.100,Exp.4.Basal,Exp.4.TW.100
Dclk1,26389.20759,2.542630469,0.120887997,21.03294391,3.28E-98,4.92E-94,9721.249081,49022.37829,4127.682135,27840.08724,9913.771425,57710.07734
Ccl7,9910.088027,2.715631087,0.132696051,20.4650482,4.41E-93,3.31E-89,2500.171449,16796.95921,3297.807728,17847.01705,2159.024712,16859.54801
Mmp9,545.3894218,6.636810322,0.324869208,20.42917629,9.20E-93,4.60E-89,13.7750493,930.0227585,10.37343009,1391.599566,8.064660078,918.5010674
Serpina3h,694.6822764,3.459535838,0.184982015,18.70201183,4.77E-78,1.79E-74,64.93951815,839.543463,182.9495851,1570.609464,111.7531468,1398.298481
Lrtm1,1266.213579,-3.548143929,0.196518836,-18.0549814,7.21E-73,2.16E-69,3846.190552,233.1581846,1094.868394,92.65336474,2076.073923,254.3370549
Il1rl1,1449.771306,3.567190795,0.199352606,17.89387592,1.32E-71,3.29E-68,191.8667582,1517.268186,214.0698754,3640.467642,236.1793309,2898.776041
Cxcl10,805.8911341,4.584909097,0.25692846,17.84508067,3.16E-71,6.77E-68,53.13233303,846.5034088,102.7912618,2054.565874,36.8670175,1741.486909
Nfkbie,2299.408634,2.452298434,0.137501944,17.83464556,3.80E-71,7.14E-68,435.8819173,2803.988167,1030.741735,4759.504397,725.819407,4040.516183
Mycl1,1721.156684,2.327491822,0.130925415,17.77723457,1.06E-70,1.77E-67,364.0548745,1982.714562,730.8553015,3225.776369,639.4123348,3384.126665
Nfkb2,10579.40811,1.814148688,0.102984559,17.61573495,1.87E-69,2.80E-66,3445.73019,12667.97136,5831.753786,19586.7414,4851.469084,17092.78286
Itih5,860.8115427,2.949463241,0.182388267,16.17134309,8.03E-59,1.10E-55,299.1153563,1716.496635,95.24694897,905.8440611,221.202105,1926.96415
Col6a4,264.568464,4.070570169,0.259477892,15.68754138,1.84E-55,2.30E-52,29.5179628,374.9670804,33.94940755,663.8658561,24.19398023,460.9164969
Birc3,3611.147466,2.147826021,0.142141665,15.11046055,1.38E-51,1.59E-48,1258.449147,4459.585276,1448.508056,6698.028678,1236.197181,6566.116457
Syt13,447.4488542,3.55496417,0.235412797,15.10098095,1.60E-51,1.63E-48,27.55009861,445.4365317,137.6837084,1115.438566,64.51728062,894.0669398
Tnfaip3,2492.765832,1.917501895,0.126992024,15.09938843,1.63E-51,1.63E-48,1211.220407,4604.004152,961.8998806,3189.794479,944.7173234,4044.958751
Rrad,881.3055256,1.979693027,0.138073602,14.33795451,1.27E-46,1.19E-43,292.2278317,1234.520388,453.6018065,1716.336116,328.3468746,1262.800137
Traf1,529.0194987,2.566698121,0.179707964,14.28260639,2.81E-46,2.48E-43,108.2325303,685.554662,245.1901657,1194.598722,118.6657126,821.8751993
Enpp2,770.4154134,2.237402916,0.157552117,14.20103363,9.03E-46,7.52E-43,184.9792335,838.6734698,235.7597747,1319.635787,397.4725324,1645.971683
Serpina3i,342.3246045,3.155286346,0.225099516,14.01729514,1.22E-44,9.65E-42,15.74291349,130.4989839,122.5950828,941.8259503,70.27775211,773.0069442
Col22a1,201.5346533,3.758017224,0.271949208,13.81882025,1.96E-43,1.47E-40,26.56616652,306.2376155,32.06332935,532.5319605,23.04188594,288.7669619
Ccl20,278.3280402,4.362839252,0.316408663,13.78862136,2.98E-43,2.13E-40,24.59830233,388.886972,34.89244665,504.6459963,16.12932016,700.8152038
