gene_names,ApoE.2,ApoE.3,ApoE.4,ApoE.5,ApoE.6,WT.1,WT.2,WT.3,WT.5,WT.6,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
Apoe,838.2780518,407.2355984,506.5573727,504.1343973,946.5633873,21310.32459,18661.5957,15842.72102,15501.07851,22863.46805,6681.642838,-4.877291564,0.225802183,-21.59984237,1.80E-103,3.12E-99
Cry1,341.3954969,348.9247275,333.9526383,374.1527575,379.9008013,624.9934809,993.2883398,1000.00323,1011.338363,1030.358884,551.4591138,-1.389876399,0.161783496,-8.590965316,8.62E-18,5.04E-14
Ccdc61,137.7412525,157.0631523,133.2058276,161.5659635,139.3880638,316.4029497,259.7831042,315.8532252,305.1266062,311.8868549,204.1545943,-1.052713283,0.125403627,-8.394599956,4.67E-17,2.03E-13
Vmn2r29,49.85726316,97.81178345,83.48815958,82.60515426,57.39508508,227.5366891,248.5767743,309.8937304,246.9045683,200.719263,133.7221711,-1.736379414,0.209725596,-8.279291812,1.24E-16,4.29E-13
Gpr88,201.1191294,165.5276335,538.4517258,154.2772734,243.2458368,17.57794165,25.46893179,38.14076682,21.56371775,29.85055707,123.1756577,3.300706365,0.411052748,8.029885169,9.76E-16,2.82E-12
Timp1,1368.117103,2030.535005,3665.974468,782.3194021,3123.932488,254.8801539,339.2461714,255.0663781,336.393997,267.625684,1105.023588,2.916442841,0.365397574,7.981560483,1.44E-15,3.58E-12
Itgax,319.4244996,1083.453601,1884.58104,156.7068368,2236.586252,71.28831891,75.38803809,42.90836267,23.72008953,50.43714814,498.5431455,4.427895401,0.564203634,7.848044807,4.23E-15,7.32E-12
Mmp12,333.7901517,2139.632763,3161.293234,111.7599146,4794.767187,48.82761569,66.21922265,61.97874607,50.67473672,13.3812842,909.8274736,5.45087433,0.694167723,7.852388044,4.08E-15,7.32E-12
Cdkn1c,526.4588974,527.6193319,502.8050959,544.2221928,682.3637893,1346.665641,1640.199207,1088.203753,915.3798187,1139.467816,747.4651539,-1.139192173,0.150802442,-7.554202403,4.21E-14,6.64E-11
Fgr,190.9786691,266.1609107,398.6794137,98.39731611,401.7655956,57.61658652,45.84407722,29.79747407,42.04924962,28.82122751,146.0821615,2.730254137,0.365380731,7.472353921,7.88E-14,1.14E-10
Cd5l,135.2061374,1767.195588,5229.735839,25.51041529,9163.170885,4.882761569,8.150058172,2.383797926,40.97106373,10.29329554,1272.944152,7.935314596,1.080138873,7.346568851,2.03E-13,2.71E-10
Ccl2,191.8237074,196.5640648,166.03825,112.9746963,287.8864585,46.87451107,49.91910631,29.79747407,25.87646131,51.4664777,110.3285602,2.225677129,0.312650201,7.118745225,1.09E-12,1.35E-09
Serpina3n,7190.431394,7154.367661,9559.863307,3629.767661,14121.92403,1451.156738,1964.16402,1259.837204,1467.410993,2180.119995,4857.995678,2.323403824,0.334335881,6.949310417,3.67E-12,4.24E-09
Rbp7,491.8123247,330.1147691,330.2003615,403.3075179,406.3207611,777.3356418,1094.14531,1103.69844,672.7879939,1341.216409,647.5541556,-1.346309784,0.196562816,-6.849259751,7.42E-12,8.04E-09
Slitrk4,5.91526851,2.821493753,3.752276835,2.429563361,1.822066193,33.20277867,30.56271815,32.181272,34.50194841,17.49860242,13.44343163,-3.113156369,0.457305568,-6.80760652,9.92E-12,1.01E-08
Cd72,131.8259839,272.7443962,477.4772273,72.88690082,399.9435294,41.01519718,34.63774723,34.56506993,29.11101897,36.02653439,141.4735311,2.949965499,0.435296627,6.776908701,1.23E-11,1.12E-08
Mmp13,112.3901017,192.8020731,239.2076482,1.21478168,918.3213613,2.929656942,1.018757272,2.383797926,3.234557663,6.175977324,126.1540515,6.537435954,0.964004128,6.781543528,1.19E-11,1.12E-08
Grin2a,74.36337556,95.93078762,850.8287724,64.38342906,243.2458368,8.788970825,4.075029086,3.575696889,9.70367299,13.3812842,108.5901642,5.067652605,0.752418578,6.735150819,1.64E-11,1.42E-08
Spp1,7800.549089,19249.17088,30684.24382,4289.394113,37113.66629,255.8567062,906.6939717,3101.321102,1097.593234,1013.889611,9306.963733,3.958991105,0.598287079,6.617209767,3.66E-11,3.02E-08
Saa3,839.1230901,160.8251439,249.5264095,18.2217252,684.1858555,1.953104628,4.075029086,2.383797926,28.03283308,12.35195465,207.767616,5.32301487,0.805995474,6.604273894,3.99E-11,3.15E-08
Slc1a5,6944.525231,5514.139292,5134.05278,6172.305718,7942.386536,16523.26515,17883.26514,13982.16673,12168.40593,19296.84115,10405.13249,-1.332535168,0.203181362,-6.55835336,5.44E-11,4.10E-08
Stac2,64.22291526,93.10929386,198.8706723,38.87301377,147.5873616,19.53104628,10.18757272,15.49468652,3.234557663,8.234636432,55.42749973,3.259486686,0.498840777,6.534122387,6.40E-11,4.62E-08
Anxa8,569.5558537,774.9702843,1830.173026,325.5614903,1334.663486,184.5683873,116.138329,116.8060984,127.2259348,169.8393764,505.2684801,2.75810506,0.428266534,6.440160133,1.19E-10,8.27E-08
Trem2,155.487058,479.6539381,915.5555478,46.16170385,1303.688361,57.61658652,31.58147542,42.90836267,28.03283308,42.20251171,273.9654627,3.841309505,0.602356459,6.377136743,1.80E-10,1.20E-07
Atp6v0d2,63.3778769,717.5999113,1215.737695,63.16864738,1910.436404,50.78072032,26.48768906,63.17064504,29.11101897,17.49860242,335.1526416,4.408982019,0.70010423,6.297608028,3.02E-10,1.90E-07
Fcgr1,191.8237074,231.3624878,215.755918,77.74602754,394.4773308,51.75727263,61.12543629,45.29216059,52.8311085,39.11452305,125.597277,2.152565461,0.341956592,6.294850023,3.08E-10,1.90E-07
Mpeg1,1936.827918,3511.819225,5907.021808,721.5803181,7505.09065,762.6873571,608.1980911,461.2648987,336.393997,656.7122554,2055.846348,2.793014554,0.448109591,6.232882776,4.58E-10,2.56E-07
Csf2rb2,1127.28117,1188.789368,1884.58104,1463.811925,989.3819429,517.5727263,558.2789848,597.1413805,485.1836495,466.286288,1020.067126,1.342156972,0.216830359,6.189894145,6.02E-10,3.26E-07
F5,469.8413274,579.3467174,1310.482685,304.9102018,1086.862484,142.5766378,113.0820571,126.3412901,163.8842549,167.7807173,410.1538628,2.394331846,0.388740869,6.159197647,7.31E-10,3.84E-07
Adam8,332.1000749,679.0394967,1326.429861,199.2241956,1914.080536,121.0924869,148.7385616,129.916987,123.9913771,114.2555805,477.6118552,2.802737796,0.457627875,6.124490983,9.10E-10,4.26E-07
Lcn2,827.2925531,571.822734,1972.759546,396.0188278,1449.453657,153.3187133,198.657668,179.9767434,166.0406267,207.9245699,612.5675713,2.526101797,0.412354994,6.126036622,9.01E-10,4.26E-07
Tnfrsf9,98.0244496,60.19186674,204.4990875,25.51041529,113.8791371,13.67173239,10.18757272,7.151393778,7.547301214,6.175977324,47.72360338,3.485275322,0.568299654,6.132812676,8.63E-10,4.26E-07
Tnfsf8,61.68780018,35.73892088,139.7723121,24.29563361,87.45917727,6.835866197,2.037514543,3.575696889,8.625487102,13.3812842,36.97470077,3.337349582,0.54490529,6.124641551,9.09E-10,4.26E-07
Hgf,689.5513006,1138.942978,2237.295063,672.9890509,1450.36469,300.7781127,458.4407722,325.3884169,312.6739074,322.1801504,679.5422582,1.847898768,0.302094958,6.116946745,9.54E-10,4.35E-07
B4galt5,1336.005645,1447.426296,1947.431677,1155.257378,1625.283044,761.7108048,855.7561081,647.2011369,834.5158771,827.5809614,1128.004122,0.935805628,0.153410645,6.10000452,1.06E-09,4.71E-07
Slc15a3,180.8382087,331.0552671,627.5683007,91.10862602,650.477631,71.28831891,69.27549446,54.8273523,47.44017906,64.8477619,202.3416376,2.61189427,0.429484284,6.081466459,1.19E-09,5.16E-07
Ctss,1623.318687,4616.904279,4315.11836,703.3585929,10476.88061,755.8514909,551.1476839,365.9129816,539.0929439,635.0963348,2181.693043,2.932401042,0.483386665,6.066367272,1.31E-09,5.53E-07
Gm11166,89.57406601,33.85792504,35.64662993,31.58432369,28.24202599,7.812418511,9.168815444,5.959494815,6.469115326,6.175977324,20.8156425,2.622253524,0.432666489,6.060680895,1.36E-09,5.59E-07
Prg4,1269.247615,2110.477328,2410.837867,498.0604889,2711.234495,281.2470664,357.5838023,333.7317096,266.3119143,434.3770718,951.5378338,2.427387868,0.403584431,6.014572619,1.80E-09,7.27E-07
Trim24,2688.912057,2364.411765,2681.001799,2359.106023,2503.518949,3737.265705,4099.479261,4129.929907,3661.519275,4413.765127,3125.607523,-0.669751455,0.112464197,-5.955241512,2.60E-09,1.02E-06
Fgf18,40.56184121,81.82331885,65.66484461,61.9538657,68.32748224,14.64828471,12.22508726,20.26228237,15.09460243,25.73323885,39.29144542,1.857731778,0.313974982,5.916814673,3.28E-09,1.26E-06
Runx1,981.0895344,1276.255674,2432.413458,612.2499669,1408.457167,444.3313028,420.7467531,352.802093,373.0523172,265.5670249,796.9206516,1.853931726,0.313493555,5.913779397,3.34E-09,1.26E-06
Mroh1,3238.18699,3425.293417,3777.604704,3441.4765,3225.968195,2603.488469,2340.085453,2661.510384,2679.291931,2697.872761,3108.959009,0.398178796,0.067467055,5.90182564,3.60E-09,1.33E-06
Tlr13,374.3519929,489.9994152,916.493617,97.18253443,1291.844931,109.3738592,92.70691171,73.8977357,119.6786335,112.1969214,333.2431378,2.641923104,0.44816121,5.895028501,3.75E-09,1.35E-06
Cx3cr1,484.2069795,288.7328608,407.1220366,145.7738016,380.8118344,138.6704286,99.83821261,81.04912948,97.0367299,87.49301209,219.3350853,1.759679372,0.299060302,5.884028612,4.00E-09,1.42E-06
Ncf4,184.2183622,155.1821564,206.3752259,70.45733746,274.2209621,51.75727263,52.97537812,22.6460803,47.44017906,48.37848904,113.7102308,1.99474914,0.339207705,5.88061271,4.09E-09,1.42E-06
Npas2,207.8794362,844.5671302,646.3296848,895.2940984,721.5382125,173.8263119,99.83821261,237.1878936,199.4643892,91.6103303,457.2469675,2.048318938,0.35086354,5.837936129,5.29E-09,1.80E-06
Lilrb4,439.4199465,964.9508637,1334.872484,273.3258781,2205.611127,247.0677354,193.5638816,150.1792693,113.2095182,181.1620015,573.4207394,2.559270453,0.439558211,5.822369801,5.80E-09,1.93E-06
Tnfrsf11b,868.6994327,2721.800974,7397.61378,3147.499334,3932.929878,586.9079406,541.9788685,587.6061887,967.1327413,504.3714814,1810.405465,2.502781492,0.433416025,5.774547654,7.72E-09,2.52E-06
Ms4a6d,198.5840143,521.0358465,503.7431651,149.4181467,1299.133196,58.59313883,107.9882708,91.77622015,104.5840311,89.5516712,278.6388597,2.562661377,0.44689395,5.73438369,9.79E-09,3.14E-06
Slamf7,178.3030937,328.2337733,590.0455323,53.45039393,675.0755246,92.77246982,39.73153359,34.56506993,37.73650607,45.29050038,202.4292535,2.866062628,0.503674021,5.690312597,1.27E-08,4.00E-06
Irf8,490.122248,424.1645609,542.2040027,355.9310323,712.4278815,238.2787646,279.1394924,190.7038341,184.3697868,220.2765246,379.7872642,1.182137258,0.208239576,5.676813594,1.37E-08,4.25E-06
Ccr5,379.422223,490.9399131,493.4244038,104.4712245,798.9760257,140.6235332,117.1570862,61.97874607,79.78575569,66.90642101,248.0018791,2.280449108,0.402094315,5.671428376,1.42E-08,4.31E-06
