"","ensembl_id","BR-A-Control","BR-B-Control","BR-C-Control","TH-A-Control","TH-B-Control","TH-C-Control","external_gene_id","gene_biotype","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"10238","ENSMUSG00000036061",2756.37178262558,2821.56226680104,3001.1351011547,512.061970863833,565.221819538361,698.585957427753,"Smug1","protein_coding",1725.82314973521,2.27509144116485,0.0970371909777958,23.4455616268348,1.46716607655504e-121,2.01119125774164e-117
"11046","ENSMUSG00000038227",259.568643206893,231.256544931387,268.060337807432,1089.51162291592,1048.57306911573,951.286743703993,"Hoxa9","protein_coding",641.376160280226,-2.02567262306371,0.110086522189442,-18.4007322856274,1.296014623147e-75,8.88288422704957e-72
"293","ENSMUSG00000001661",1914.74012131838,1780.3267680145,1972.23967688958,775.311076946401,746.281733875162,759.078037540212,"Hoxc6","protein_coding",1324.6629024307,1.31342177530595,0.0793014935169105,16.5623838474854,1.30326550047284e-61,5.95505449349392e-58
"21353","ENSMUSG00000075394",1543.92777387996,1700.14233786241,1693.91319848526,727.756399718582,747.068950894017,722.002246503543,"Hoxc4","protein_coding",1189.13515122396,1.16799225615105,0.0814377508906136,14.3421477555278,1.19305280890562e-46,4.08859197611955e-43
"7253","ENSMUSG00000029361",112.367378011642,91.8053620581888,86.6918539292122,454.317005658625,411.714500861508,563.942295241957,"Nos1","protein_coding",286.806399293522,-2.29477484265771,0.168770356135892,-13.5970255393073,4.17052554590265e-42,1.14339128366467e-38
"2283","ENSMUSG00000020053",629.257316865195,574.074036161333,382.128566661659,137.568887694761,138.550195318595,102.446264706584,"Igf1","protein_coding",327.337544568021,2.06192007629138,0.178101010995895,11.5772508239097,5.37419935070335e-31,1.22782541165736e-27
"3713","ENSMUSG00000022484",3.37102134034926,1.16209319060998,0,274.28858472474,390.459641352405,189.281670029307,"Hoxc10","protein_coding",143.093835106235,-7.54994505792398,0.757297842340249,-9.96958479980964,2.07092741029604e-23,3.54853411754226e-20
"6327","ENSMUSG00000027820",16.8551067017463,20.9176774309797,23.9543280593876,142.664031683456,133.826893205461,213.673637816589,"Mme","protein_coding",91.98194581627,-2.98653480239471,0.301339729330413,-9.91085645769606,3.73431135773356e-23,5.68777112131241e-20
"3714","ENSMUSG00000022485",771.963886939981,764.65731942137,712.926430338916,287.875635361259,388.097990295838,300.509043139313,"Hoxc5","protein_coding",537.671717582779,1.20112915413006,0.121788272966342,9.86243687404951,6.05614092639027e-23,8.30175798189579e-20
"10266","ENSMUSG00000036139",574.197301639491,411.380989475935,441.444045665857,996.100649789845,933.639384362808,1037.14647031523,"Hoxc9","protein_coding",732.318140208193,-1.05480388237215,0.116288931661674,-9.07054409478069,1.18424162948229e-19,1.47578038699484e-16
"1438","ENSMUSG00000013584",317.999679772947,784.41290366174,702.660289742036,5.09514398869486,10.2338212451235,0.975678711491275,"Aldh1a2","protein_coding",303.562919520339,6.7641104428087,0.776142224175909,8.71503988845689,2.90656306843172e-18,3.064858964774e-15
"1518","ENSMUSG00000014704",552.847499817279,611.261018260852,727.755300089965,268.344250071263,289.695862938881,328.80372577256,"Hoxa2","protein_coding",463.117942825133,1.09492613980107,0.129016278978786,8.48672856222362,2.12535418222698e-17,1.94229034199783e-14
"8232","ENSMUSG00000031207",189.900868839675,251.012129171757,209.885541091777,447.523480340365,436.905445464889,524.915146782306,"Msn","protein_coding",343.357101948461,-1.11394306633963,0.140467421524579,-7.93025923199364,2.18688903358641e-15,1.57778288802118e-12
"29362","ENSMUSG00000087658",244.96088406538,252.174222362367,292.01466586682,118.886693069547,107.848731583225,102.446264706584,"Hotairm1","antisense",186.38857694232,1.25998807366695,0.167029191012546,7.5435201836804,4.5745199748167e-14,3.13537599073936e-11
"2237","ENSMUSG00000019966",58.4310365660539,72.0497778178191,45.6272915416906,439.880764357323,475.479079388816,1066.41683165996,"Kitl","protein_coding",359.647463555278,-3.49204600010962,0.476599519459937,-7.32700277177506,2.35356958712254e-13,1.5363205666798e-10
"16799","ENSMUSG00000059182",288.78416148992,296.333763605546,289.733301289735,137.568887694761,138.550195318595,138.546377031761,"Skap2","protein_coding",214.919447738387,1.07706001051824,0.14918671499091,7.21954371462545,5.21622988036452e-13,3.10887300869725e-10
"12880","ENSMUSG00000043441",30.3391920631433,23.2418638121997,19.3915989052185,117.188311739982,110.997599658647,88.786762745706,"Gpr149","protein_coding",64.9908881541495,-2.11998196242431,0.302013090770282,-7.01950354872802,2.22657961337812e-12,1.27174805584114e-09
"7599","ENSMUSG00000030022",89.8939024093136,113.885132679779,84.4104893521276,236.075004809528,194.442603657347,386.368769750545,"Adamts9","protein_coding",184.179317109773,-1.50003463173917,0.230568717571136,-6.50580290136875,7.7279496999713e-11,3.65292187886919e-08
"16236","ENSMUSG00000056648",412.388277302726,285.874924890056,384.409931238743,183.425183593015,192.08095260078,141.473413166235,"Hoxb8","protein_coding",266.608780465259,1.06301636073287,0.167240914407356,6.35619797045378,2.06808466459497e-10,9.14493696202189e-08
"12220","ENSMUSG00000041324",60.6783841262867,102.264200773679,101.520723680262,22.9281479491269,22.829293546814,12.6838232493866,"Inhba","protein_coding",53.8174288875924,2.16420691438934,0.340849491165557,6.34945033066851,2.16085618323705e-10,9.2565676749417e-08
"1260","ENSMUSG00000009628",174.169435918045,197.555842403697,96.9579945260926,49.2530585573836,58.2540593953185,36.1001123251772,"Tex15","protein_coding",102.048417187619,1.69885022345023,0.273851658408146,6.2035418493551,5.52063508487978e-10,2.22229058508079e-07
"10374","ENSMUSG00000036502",176.416783478278,199.880028784917,146.00733293341,403.365565771676,390.459641352405,282.94682633247,"Tmem255a","protein_coding",266.512696442193,-1.04642196029742,0.168822568224139,-6.19835352171712,5.70568709131344e-10,2.22229058508079e-07
"22651","ENSMUSG00000078706",7.86571646081494,6.97255914365991,5.70341144271133,50.9514398869486,63.7645785273081,44.8812207285986,"Gm53","lincRNA",30.0231543650069,-2.96029795399372,0.482389927223145,-6.13673252058668,8.42360372705841e-10,3.03870420764518e-07
"16191","ENSMUSG00000056423",25.8444969426777,52.2941935774493,36.5018332333525,137.568887694761,102.338212451235,127.813911205357,"Uts2b","protein_coding",80.3935891841388,-1.68261182823542,0.278023964492317,-6.05203882804827,1.43023983604173e-09,4.90143191811502e-07
"10248","ENSMUSG00000036095",182.03515237886,169.665605829058,233.839869151164,348.168172560815,343.226620221066,484.912319611164,"Dgkb","protein_coding",293.641289958688,-1.00375362005655,0.167891926957529,-5.9785698946112,2.25105026929575e-09,7.32465583684443e-07
"6417","ENSMUSG00000027971",75.2861432678002,106.912573536119,73.003666466705,191.067899576057,197.59147173277,159.035629973078,"Ndst4","protein_coding",133.816230758755,-1.10501313435953,0.207438095616969,-5.32695371635072,9.98735997807958e-08,2.63282174191375e-05
"5262","ENSMUSG00000025927",4035.11254439807,3693.13215975853,2723.94930503893,1514.95614597194,1346.14110224317,854.694551266357,"Tfap2b","protein_coding",2361.33096811283,1.49176608974365,0.281469265380038,5.29992533191671,1.15850049885063e-07,2.98583126405809e-05
"10776","ENSMUSG00000037578",12.3604115812806,8.13465233426989,4.56272915416906,45.8562958982537,49.5946721879063,45.8568994400899,"Pkd2l1","protein_coding",27.7276100993283,-2.49387335676245,0.471746774354226,-5.28646615586574,1.24701874771471e-07,3.10802418066787e-05
"7089","ENSMUSG00000029088",78.6571646081494,154.558394351128,95.8173122375503,202.107378218229,229.867369505851,354.171372271333,"Kcnip4","protein_coding",185.863165198707,-1.2553480004725,0.237755529213017,-5.27999497899277,1.29187426648121e-07,3.13212108849025e-05
"3989","ENSMUSG00000022952",28.0918445029105,72.0497778178191,34.220468656268,5.94433465347733,9.44660422626787,0.975678711491275,"Runx1","protein_coding",25.121451428039,2.99464430672005,0.57049364788651,5.24921586386494,1.52748001448001e-07,3.5489315319478e-05
"5266","ENSMUSG00000025932",40.4522560841911,31.3765161464696,36.5018332333525,112.093167751287,122.805854941482,74.1515820733369,"Eya1","protein_coding",69.5635350383532,-1.51597959741333,0.289542482096178,-5.23577606449393,1.64293053564517e-07,3.75354863043733e-05
"627","ENSMUSG00000003746",83.1518597286151,152.234207969908,102.661405968804,236.924195474311,193.655386638491,331.730761907033,"Man1a","protein_coding",183.392969614527,-1.17141177982814,0.226267681867368,-5.17710602840219,2.2535415796661e-07,4.82680437094734e-05
"160","ENSMUSG00000000938",7.86571646081494,0,1.14068228854227,146.909985007368,142.486280412874,72.2002246503543,"Hoxa10","protein_coding",61.7671481366589,-5.31950481005678,1.02951195575869,-5.16701606066984,2.37860831022846e-07,5.0163019564018e-05
"12857","ENSMUSG00000043342",8.98939024093136,0,5.70341144271133,124.831027723024,200.740339808192,77.0786182078107,"Hoxd9","protein_coding",69.5571312371116,-4.77219279275943,0.927622291473703,-5.14454302858322,2.68172783999325e-07,5.48673510904889e-05
