"","ensembl_id","BR-A-Control","BR-A-Mutant","BR-B-Control","BR-B-Mutant","BR-C-Control","BR-C-Mutant","external_gene_id.x","gene_biotype.x","baseMean.x","log2FoldChange.x","lfcSE.x","stat.x","pvalue.x","padj.x","TH-A-Control","TH-A-Mutant","TH-B-Control","TH-B-Mutant","TH-C-Control","TH-C-Mutant","external_gene_id.y","gene_biotype.y","baseMean.y","log2FoldChange.y","lfcSE.y","stat.y","pvalue.y","padj.y"
"1","ENSMUSG00000000031",110.405123957815,36.3283406472453,132.579121349176,37.230242412753,126.620803557125,34.0653345911267,"H19","lincRNA",79.5381610858734,-1.77882495603205,0.244185553881903,-7.28472642117215,3.22323712215453e-13,5.27402174112536e-10,170.066729128479,65.440850111145,192.524327921811,53.8300568042395,105.599012125619,73.5739301643547,"H19","lincRNA",110.172484375941,-1.28228410447558,0.246824835805582,-5.19511782633416,2.0459021962593e-07,7.06706854388716e-05
"2","ENSMUSG00000003949",305.893095736331,128.10520122976,351.804440115529,194.528016606634,307.801790760817,201.386242729896,"Hlf","protein_coding",248.253131196494,-0.882025710480196,0.162777140671596,-5.4186091907075,6.0064451325843e-08,3.93121833927643e-05,512.15497737542,180.61674630676,465.872548225891,215.320227216958,314.550248884822,281.011538822188,"Hlf","protein_coding",328.254381138673,-0.937731166872546,0.179825822215386,-5.21466358568559,1.84151130484632e-07,6.4993339204739e-05
"3","ENSMUSG00000022053",411.233764466723,223.706097669879,453.065658783797,233.619771140025,437.510906599823,247.47463658848,"Ebf2","protein_coding",334.435139208121,-0.885521812404246,0.120585589791913,-7.34351271932521,2.08059614714848e-13,4.34190558048153e-10,642.148511709257,458.085950778015,786.443716888151,488.864801589522,734.699509895263,451.662182397844,"Ebf2","protein_coding",593.650778876342,-0.630304254173406,0.106578551520929,-5.91398780691472,3.33922615261014e-09,1.74878505121373e-06
"4","ENSMUSG00000023064",218.78446582466,110.897039870538,299.60793564735,144.267189349418,226.476234004614,130.249808730779,"Sncg","protein_coding",188.380445571227,-0.949701013281801,0.174184204470594,-5.45227976422013,4.97281401192988e-08,3.42600712716643e-05,384.116233031565,147.460048917113,344.18264284135,131.828710540995,386.447448629924,240.137133175324,"Sncg","protein_coding",272.362036189379,-1.1016226491279,0.180925251414191,-6.08882751587817,1.13740576305467e-09,6.3675112286871e-07
"5","ENSMUSG00000023067",93.1859761845776,152.961434304191,85.6022673278142,202.904821149504,94.7082433110205,215.413145208596,"Cdkn1a","protein_coding",140.795981247617,1.06198257644618,0.191264757914487,5.55242161716478,2.81739059415967e-08,2.04886904875278e-05,109.468239439021,260.018311108283,83.5482932490876,194.447348047967,156.151730696394,344.366867574827,"Cdkn1a","protein_coding",191.333465019263,1.2022197966247,0.225146635366542,5.33971913312169,9.30906876329714e-08,3.51471468307277e-05
"6","ENSMUSG00000024008",57.7347895926187,104.20497711973,61.5918752724517,150.782481771649,62.7956830649158,158.303613688177,"Cpne5","protein_coding",99.2355700849238,1.18197012808385,0.228094636130366,5.18192864214615,2.19603234918367e-07,0.000124982884568758,58.6436996994755,126.518976881547,58.1205518254523,125.237275013945,69.6504122530677,288.164559810389,"Cpne5","protein_coding",121.055912580646,1.53578682368981,0.285704003375828,5.37544733550535,7.63927790906683e-08,2.95294468699286e-05
"7","ENSMUSG00000026872",882.228100617033,755.247081876942,1057.50118052531,647.806217981901,898.698874027401,736.41238013171,"Zeb2","protein_coding",829.648972526717,-0.407997373029519,0.0974322524311101,-4.18749811124397,2.8204636742924e-05,0.00979400920465739,1926.44553512777,1396.94401370591,2208.58096936719,1322.68139576131,2580.43543460156,1608.40786220409,"Zeb2","protein_coding",1840.58253512797,-0.632999799729943,0.0996891657322865,-6.34973515005485,2.15685937662915e-10,1.75083059897871e-07
"8","ENSMUSG00000027684",743.462027385651,465.576365663381,993.821445074135,543.561539226193,1108.70410919532,582.116452866019,"Mecom","protein_coding",739.540323235116,-0.838861937184085,0.126683439542569,-6.62171741005033,3.55049330064526e-11,4.64759573054464e-08,1061.45096456051,629.977250403289,1117.00435539541,738.24077902957,1195.29094576232,907.411805360375,"Mecom","protein_coding",941.562683418579,-0.569235888090643,0.11247249686483,-5.06111186252717,4.16818561325442e-07,0.000130135564290741
"9","ENSMUSG00000029088",70.9023731839177,50.6684751132632,138.842701885357,31.64570605084,86.4727438926709,34.0653345911267,"Kcnip4","protein_coding",68.7662224528626,-1.34678810811432,0.299827897242231,-4.49187057142401,7.06003264184893e-06,0.00298115571876782,232.62000880792,87.25446681486,265.175017703626,74.7029359732303,407.791929804251,88.9018322819286,"Kcnip4","protein_coding",192.741031897636,-1.8461911755538,0.209475219300851,-8.81341087368561,1.21394626719535e-18,2.81548823541666e-15
"10","ENSMUSG00000030306",325.138025600537,254.298384530717,429.055266728435,232.689015079706,402.510034071837,308.591854531383,"Tmtc1","protein_coding",325.380430090436,-0.54084256218536,0.142191961482663,-3.80360856229767,0.000142603455507998,0.0345681339370314,554.182962160044,397.007824007613,628.428466612703,266.953138845514,707.738059990849,332.104545880768,"Tmtc1","protein_coding",481.069166249582,-0.918866543132921,0.138326131601777,-6.64275457205886,3.07874264426332e-11,3.12396167685094e-08
