Tank,Raceway,Tank.Raceway,Colony,Site,Color,Infect,Oil,Dispersant,Trt,Hyb Date,Chip,Array,chip # (array),chp_bl_hd_st_sp_tk_trt
2,A,A2,WL103,WL,pink zip,B,O,C,BOC,121511,1,1,253295110001_1,M01_B1_121511_WL_WL103_A2_BOC
2,A,A2,WL102,WL,black zip,B,O,C,BOC,121511,1,2,253295110001_2,M01_B2_121511_WL_WL102_A2_BOC
2,A,A2,WL104,WL,orange,B,O,C,BOC,121511,1,3,253295110001_3,M01_B3_121511_WL_WL104_A2_BOC
2,A,A2,WL105,WL,neon yellow,B,O,C,BOC,121511,1,4,253295110001_4,M01_B4_121511_WL_WL105_A2_BOC
7,A,A7,WL101,WL,green zip,H,U,D,HUD,121511,1,5,253295110001_5,M01_B5_121511_WL_WL101_A7_HUD
7,A,A7,WL102,WL,black zip,H,U,D,HUD,121511,1,6,253295110001_6,M01_B6_121511_WL_WL102_A7_HUD
7,A,A7,WL103,WL,pink zip,H,U,D,HUD,121511,1,7,253295110001_7,M01_B7_121511_WL_WL103_A7_HUD
7,A,A7,WL104,WL,orange,H,U,D,HUD,121511,1,8,253295110001_8,M01_B8_121511_WL_WL104_A7_HUD
1,A,A1,WL105,WL,neon yellow,B,O,D,BOD,122111,2,1,253295110002_1,M02_B1_122111_WL_WL105_A1_BOD
1,A,A1,WL104,WL,orange,B,O,D,BOD,122111,2,2,253295110002_2,M02_B2_122111_WL_WL104_A1_BOD
7,B,B7,EL105,EL,full red,H,O,D,HOD,122111,2,3,253295110002_3,M02_B3_122111_EL_EL105_B7_HOD
7,B,B7,EL104,EL,full blue,H,O,D,HOD,122111,2,4,253295110002_4,M02_B4_122111_EL_EL104_B7_HOD
7,B,B7,WW102,WW,1/2 purple,H,O,D,HOD,122111,2,5,253295110002_5,M02_B5_122111_WW_WW102_B7_HOD
7,B,B7,WW101,WW,1/2 white,H,O,D,HOD,122111,2,6,253295110002_6,M02_B6_122111_WW_WW101_B7_HOD
7,B,B7,WW104,WW,1/2 blue,H,O,D,HOD,122111,2,7,253295110002_7,M02_B7_122111_WW_WW104_B7_HOD
7,B,B7,WW103,WW,1/2 yellow,H,O,D,HOD,122111,2,8,253295110002_8,M02_B8_122111_WW_WW103_B7_HOD
6,B,B6,WW102,WW,1/2 purple,H,U,D,HUD,10512,3,1,253295110003_1,M03_B1_010512_WW_WW102_B6_HUD
6,B,B6,WW101,WW,1/2 white,H,U,D,HUD,10512,3,2,253295110003_2,M03_B2_010512_WW_WW101_B6_HUD
6,B,B6,WW104,WW,1/2 blue,H,U,D,HUD,10512,3,3,253295110003_3,M03_B3_010512_WW_WW104_B6_HUD
6,B,B6,WW103,WW,1/2 yellow,H,U,D,HUD,10512,3,4,253295110003_4,M03_B4_010512_WW_WW103_B6_HUD
6,B,B6,WL105,WL,neon yellow,H,U,D,HUD,10512,3,5,253295110003_5,M03_B5_010512_WL_WL105_B6_HUD
6,B,B6,WW105,WW,1/2 red,H,U,D,HUD,10512,3,6,253295110003_6,M03_B6_010512_WW_WW105_B6_HUD
8,A,A8,EL101,EL,full white,B,U,C,BUC,10512,3,7,253295110003_7,M03_B7_010512_EL_EL101_A8_BUC
7,A,A7,WL105,WL,neon yellow,H,U,D,HUD,10512,3,8,253295110003_8,M03_B8_10512_WL_WL105_A7_HUD
4,A,A4,EL103,EL,full yellow,H,U,C,HUC,13112,4,1,253295110004_1,M04_B1_013112_EL_EL103_A4_HUC
7,B,B7,EL102,EL,full purple,H,O,D,HOD,13112,4,2,253295110004_2,M04_B2_013112_EL_EL102_B7_HOD
4,A,A4,WW101,WW,1/2 white,H,U,C,HUC,13112,4,3,253295110004_3,M04_B3_013112_WW_WW101_A4_HUC
4,A,A4,EL104,EL,full blue,H,U,C,HUC,13112,4,4,253295110004_4,M04_B4_013112_EL_EL104_A4_HUC
4,A,A4,WW105,WW,1/2 red,H,U,C,HUC,13112,4,5,253295110004_5,M04_B5_013112_WW_WW105_A4_HUC
4,A,A4,WW104,WW,1/2 blue,H,U,C,HUC,13112,4,6,253295110004_6,M04_B6_013112_WW_WW104_A4_HUC
5,C,C5,WL103,WL,pink zip,H,O,D,HOD,13112,4,7,253295110004_7,M04_B7_013112_WL_WL103_C5_HOD
5,C,C5,WL102,WL,black zip,H,O,D,HOD,13112,4,8,253295110004_8,M04_B8_013112_WL_WL102_C5_HOD
6,B,B6,EL101,EL,full white,H,U,D,HUD,13112,5,1,253295110006_1,M06_B1_013112_EL_EL101_B6_HUD
6,B,B6,EL102,EL,full purple,H,U,D,HUD,13112,5,2,253295110006_2,M06_B2_013112_EL_EL102_B6_HUD
6,B,B6,EL104,EL,full blue,H,U,D,HUD,13112,5,3,253295110006_3,M06_B3_013112_EL_EL104_B6_HUD
4,A,A4,EL101,EL,full white,H,U,C,HUC,13112,5,4,253295110006_4,M06_B4_013112_EL_EL101_A4_HUC
4,A,A4,WW102,WW,1/2 purple,H,U,C,HUC,13112,5,5,253295110006_5,M06_B5_013112_WW_WW102_A4_HUC
5,A,A5,WW102,WW,1/2 purple,H,O,D,HOD,13112,5,6,253295110006_6,M06_B6_013112_WW_WW102_A5_HOD
5,C,C5,WL104,WL,orange,H,O,D,HOD,13112,5,7,253295110006_7,M06_B7_013112_WL_WL104_C5_HOD
4,A,A4,WW103,WW,1/2 yellow,H,U,C,HUC,13112,5,8,253295110006_8,M06_B8_013112_WW_WW103_A4_HUC
5,A,A5,EL102,EL,full purple,H,O,D,HOD,13112,6,1,253295110007_1,M07_B1_013112_EL_EL102_A5_HOD
5,A,A5,EL104,EL,full blue,H,O,D,HOD,13112,6,2,253295110007_2,M07_B2_013112_EL_EL104_A5_HOD
5,C,C5,WW105,WW,1/2 red,H,O,D,HOD,13112,6,3,253295110007_3,M07_B3_013112_WW_WW105_C5_HOD
5,C,C5,EL103,EL,full yellow,H,O,D,HOD,13112,6,4,253295110007_4,M07_B4_013112_EL_EL103_C5_HOD
4,A,A4,WL104,WL,orange,H,U,C,HUC,13112,6,5,253295110007_5,M07_B5_013112_WL_WL104_A4_HUC
5,C,C5,WW101,WW,1/2 white,H,O,D,HOD,13112,6,6,253295110007_6,M07_B6_013112_WW_WW101_C5_HOD
5,C,C5,EL104,EL,full blue,H,O,D,HOD,13112,6,7,253295110007_7,M07_B7_013112_EL_EL104_C5_HOD
5,C,C5,WW102,WW,1/2 purple,H,O,D,HOD,13112,6,8,253295110007_8,M07_B8_013112_WW_WW102_C5_HOD
4,A,A4,WL103,WL,pink zip,H,U,C,HUC,13112,7,1,253295110008_1,M08_B1_013112_WL_WL103_A4_HUC
5,A,A5,WL101,WL,green zip,H,O,D,HOD,13112,7,2,253295110008_2,M08_B2_013112_WL_WL101_A5_HOD
5,A,A5,WW104,WW,1/2 blue,H,O,D,HOD,13112,7,3,253295110008_3,M08_B3_013112_WW_WW104_A5_HOD
5,A,A5,EL103,EL,full yellow,H,O,D,HOD,13112,7,4,253295110008_4,M08_B4_013112_EL_EL103_A5_HOD
5,C,C5,EL102,EL,full purple,H,O,D,HOD,13112,7,5,253295110008_5,M08_B5_013112_EL_EL102_C5_HOD
4,A,A4,WL101,WL,green zip,H,U,C,HUC,13112,7,6,253295110008_6,M08_B6_013112_WL_WL101_A4_HUC
5,A,A5,EL105,EL,full red,H,O,D,HOD,13112,7,7,253295110008_7,M08_B7_013112_EL_EL105_A5_HOD
5,C,C5,WW103,WW,1/2 yellow,H,O,D,HOD,13112,7,8,253295110008_8,M08_B8_013112_WW_WW103_C5_HOD
5,C,C5,EL101,EL,full white,H,O,D,HOD,20812,8,1,253295110009_1,M09_B1_020812_EL_EL101_C5_HOD
6,B,B6,EL103,EL,full yellow,H,U,D,HUD,20812,8,2,253295110009_2,M09_B2_020812_EL_EL103_B6_HUD
5,C,C5,WW104,WW,1/2 blue,H,O,D,HOD,20812,8,3,253295110009_3,M09_B3_020812_WW_WW104_C5_HOD
5,C,C5,EL105,EL,full red,H,O,D,HOD,20812,8,4,253295110009_4,M09_B4_020812_EL_EL105_C5_HOD
5,A,A5,EL101,EL,full white,H,O,D,HOD,20812,8,5,253295110009_5,M09_B5_020812_EL_EL101_A5_HOD
4,A,A4,WL102,WL,black zip,H,U,C,HUC,20812,8,6,253295110009_6,M09_B6_020812_WL_WL102_A4_HUC
5,A,A5,WL104,WL,orange,H,O,D,HOD,20812,8,7,253295110009_7,M09_B7_020812_WL_WL104_A5_HOD
7,B,B7,EL103,EL,full yellow,H,O,D,HOD,20812,8,8,253295110009_8,M09_B8_020812_EL_EL103_B7_HOD
5,C,C5,WL105,WL,neon yellow,H,O,D,HOD,20812,9,1,253295110010_1,M10_B1_020812_WL_WL105_C5_HOD
5,C,C5,WL101,WL,green zip,H,O,D,HOD,20812,9,2,253295110010_2,M10_B2_020812_WL_WL101_C5_HOD
7,C,C7,WL101,WL,green zip,H,O,C,HOC,20812,9,3,253295110010_3,M10_B3_020812_WL_WL101_C7_HOC
7,C,C7,WW101,WW,1/2 white,H,O,C,HOC,20812,9,4,253295110010_4,M10_B4_020812_WW_WW101_C7_HOC
7,C,C7,WL103,WL,pink zip,H,O,C,HOC,20812,9,5,253295110010_5,M10_B5_020812_WL_WL103_C7_HOC
7,C,C7,WL102,WL,black zip,H,O,C,HOC,20812,9,6,253295110010_6,M10_B6_020812_WL_WL102_C7_HOC
7,C,C7,WL105,WL,neon yellow,H,O,C,HOC,20812,9,7,253295110010_7,M10_B7_020812_WL_WL105_C7_HOC
7,C,C7,WL104,WL,orange,H,O,C,HOC,20812,9,8,253295110010_8,M10_B8_020812_WL_WL104_C7_HOC
