Flags,Block,Column,Row,Name,ID,RefNumber,2_1,2_2,2_3,2_4,2_5,2_6,2_7,2_8,3_1,3_2,3_3,3_4,3_5,3_6,3_7,3_8,1_3,1_4,1_5,1_6,1_7,1_8
0,1,1,1,GE_BrightCorner,GE_BrightCorner,15744,128,47,133,95,144,188,243,219,74,63,42,82,35,101,89,133,276,295,216,91,11,84
0,1,2,1,GE_BrightCorner,GE_BrightCorner,15580,124,45,173,80,159,152,130,146,61,71,47,71,39,79,81,122,308,283,217,81,10,81
0,1,3,1,DarkCorner,DarkCorner,15416,1,-1,0,1,-1,0,0,0,0,0,0,32,0,3,1,4,6,1,-2,0,0,0
0,1,4,1,DarkCorner,DarkCorner,15252,1,-1,-1,0,2,0,-1,0,1,1,0,9,0,1,49,10,1,1,0,0,0,0
0,1,5,1,222545032_EZ001222.1_32-199,CUST_42_PI426227498,15088,1,1,1,2,0,1,0,0,1,2,1,13,0,6,128,7,17,2,2,0,0,11
0,1,6,1,Ac_29_113_147,CUST_78_PI426266615,14924,1,-1,1,0,1,0,0,2,1,1,0,2,0,14,84,3,1,2,-1,0,3,0
0,1,7,1,222781877_EZ010548.1_323-1383,CUST_50_PI426266271,14760,-1,-1,0,2,0,2,-1,12,1,2,0,2,1,31,79,71,0,4,-1,0,10,1
0,1,8,1,222781277_EZ009948.1_106-222,CUST_18_PI426266317,14596,-1,0,2,0,0,0,1,1,0,1,0,1,1,6,96,16,1,1,0,0,0,0
0,1,9,1,222782861_EZ011532.1_74-319,CUST_186_PI426246026,14432,0,0,-1,1,0,-1,1,1,1,0,0,2,1,14,26,16,1,1,0,0,0,1
0,1,10,1,222781761_EZ010432.1_1069-1458,CUST_2_PI426244593,14268,-1,0,0,1,0,0,3,1,0,0,0,0,0,4,2,2,1,3,0,-1,0,-1
0,1,11,1,222785318_EZ013952.1_158-640,CUST_908_PI426227498,14104,0,2,3,9,4,1,1,2,2,2,0,0,0,2,1,3,2,1,1,2,0,0
0,1,12,1,222784615_EZ013259.1_218-550,CUST_165_PI426226825,13940,34,14,65,65,46,57,98,138,85,19,14,28,10,58,23,155,5,22,22,24,0,3
0,1,13,1,222785152_EZ013786.1_1048-1221,CUST_847_PI426227498,13776,0,0,1,0,-1,-1,0,1,0,0,1,2,0,3,0,135,1,1,1,0,0,0
0,1,14,1,288950310_GQ501381.1_22-468,CUST_279_PI426232940,13612,1,12,20,14,21,13,21,4,2,0,0,3,0,2,2,66,2,2,3,0,1,2
0,1,15,1,NA,NA,13448,0,1,0,1,0,0,1,0,0,0,0,0,0,-1,-1,0,0,-1,0,1,2,0
0,1,16,1,NA,NA,13284,0,1,0,0,0,0,0,2,0,1,0,0,-1,0,0,-1,0,1,1,0,36,1
0,1,17,1,222545186_EZ001376.1_137-241,CUST_18_PI426227890,13120,1,1,0,0,0,0,0,1,1,0,1,1,0,0,0,43,0,2,0,1,2,-1
0,1,18,1,222548433_EZ004346.1_108-227,CUST_15_PI426265159,12956,0,2,0,1,0,0,0,1,0,0,0,2,1,0,-1,25,1,0,3,0,1,0
0,1,19,1,ETG07_105829,ETG07_105829,12792,0,0,1,1,0,1,0,1,0,-1,1,-4,1,1,1,10,1,1,1,1,1,-1
0,1,20,1,222785331_EZ013965.1_43-938,CUST_313_PI426227486,12628,1,2,1,1,2,2,0,1,0,5,1,-1,1,6,0,3,1,3,0,0,0,0
0,1,21,1,NA,NA,12464,0,0,0,0,0,0,0,0,0,0,1,-1,0,-1,0,1,1,0,0,1,0,1
0,1,22,1,222786712_EZ015184.1_8-1142,CUST_354_PI426227486,12300,1,2,1,0,-1,0,0,1,1,1,1,18,1,3,-1,7,1,0,1,1,4,1
0,1,23,1,222784673_EZ013313.1_32-562,CUST_787_PI426227498,12136,1,1,0,-1,0,1,0,6,0,1,1,3,0,1,0,1,2,1,0,0,2,1
0,1,24,1,222802262,CUST_38_PI426265162,11972,1,-1,0,0,-1,0,0,2,0,0,0,0,0,3,0,2,1,6,-1,1,0,0
0,1,25,1,222798880_EZ027268.1_1152-1319,CUST_15_PI426245463,11808,0,1,1,0,0,0,0,1,0,1,0,1,1,2,0,1,3,0,0,0,0,0
0,1,26,1,NA,NA,11644,0,0,1,0,0,-1,0,0,0,1,-1,0,1,1,0,1,1,0,-1,-1,0,1
0,1,27,1,Ac_5_118_154,CUST_88_PI426266615,11480,0,0,0,0,0,-1,1,0,1,2,0,4,1,2,0,14,2,1,0,0,0,0
0,1,28,1,222788530_EZ017002.1_108-227,CUST_126_PI426266317,11316,2,2,1,13,2,5,1,1,1,3,0,12,0,3,0,13,3,4,1,0,1,2
